task,model_type,offset,label,performance_name,performance_result,performance_confidence_criterion,performance_is_significant,performance_higher_is_better
binary_classification,tabular,1,ema_STRESSED,accuracy,0.7027649769585254,0.5773833709155889,True,True
binary_classification,tabular,1,ema_VOICES,accuracy,0.804147465437788,0.5692699766995614,True,True
binary_classification,tabular,7,ema_CALM,accuracy,0.7189695550351288,0.5593042124766314,True,True
binary_classification,tabular,7,ema_HOPEFUL,accuracy,0.6487119437939111,0.5763192600921457,True,True
binary_classification,tabular,7,ema_SLEEPING,accuracy,0.6533957845433255,0.5701748412433156,True,True
binary_classification,tabular,7,ema_SOCIAL,accuracy,0.6276346604215457,0.5681424561103512,True,True
binary_classification,tabular,7,ema_THINK,accuracy,0.6978922716627635,0.573894167311456,True,True
binary_classification,tabular,7,ema_DEPRESSED,accuracy,0.6744730679156908,0.5824134375972612,True,True
binary_classification,tabular,7,ema_HARM,accuracy,0.8056206088992974,0.581732778819119,True,True
binary_classification,tabular,7,ema_SEEING_THINGS,accuracy,0.8407494145199064,0.5690146649539713,True,True
binary_classification,tabular,7,ema_STRESSED,accuracy,0.7166276346604216,0.5757672264200677,True,True
binary_classification,tabular,7,ema_VOICES,accuracy,0.7962529274004684,0.5717133799171843,True,True
binary_classification,sequence,0,ema_CALM,accuracy,0.7096774193548387,0.5748756740724763,True,True
binary_classification,sequence,0,ema_HOPEFUL,accuracy,0.6543778801843319,0.571425113653262,True,True
binary_classification,sequence,0,ema_SLEEPING,accuracy,0.6658986175115207,0.5881981099395962,True,True
binary_classification,sequence,0,ema_SOCIAL,accuracy,0.6774193548387096,0.5701570664620995,True,True
binary_classification,sequence,0,ema_THINK,accuracy,0.728110599078341,0.5747727060388227,True,True
binary_classification,sequence,0,ema_DEPRESSED,accuracy,0.6428571428571429,0.5708367870376321,True,True
binary_classification,sequence,0,ema_HARM,accuracy,0.7741935483870968,0.5729081813576494,True,True
binary_classification,sequence,0,ema_SEEING_THINGS,accuracy,0.8064516129032258,0.5773482128317864,True,True
binary_classification,sequence,0,ema_STRESSED,accuracy,0.7188940092165899,0.5782416400850612,True,True
binary_classification,sequence,0,ema_VOICES,accuracy,0.7626728110599078,0.5695904322774515,True,True
binary_classification,sequence,1,ema_CALM,accuracy,0.7119815668202765,0.5732889074633305,True,True
binary_classification,sequence,1,ema_HOPEFUL,accuracy,0.6612903225806451,0.5753267132963695,True,True
binary_classification,sequence,1,ema_SLEEPING,accuracy,0.6566820276497696,0.5851471955544024,True,True
binary_classification,sequence,1,ema_SOCIAL,accuracy,0.6682027649769585,0.5853023061497329,True,True
binary_classification,sequence,1,ema_THINK,accuracy,0.7188940092165899,0.5735921808932347,True,True
binary_classification,sequence,1,ema_DEPRESSED,accuracy,0.6728110599078341,0.5674557813302518,True,True
binary_classification,sequence,1,ema_HARM,accuracy,0.7857142857142857,0.5694534126208007,True,True
binary_classification,sequence,1,ema_SEEING_THINGS,accuracy,0.8087557603686636,0.5717922319121449,True,True
binary_classification,sequence,1,ema_STRESSED,accuracy,0.7142857142857143,0.5773833709155889,True,True
binary_classification,sequence,1,ema_VOICES,accuracy,0.7695852534562212,0.5692699766995614,True,True
binary_classification,sequence,7,ema_CALM,accuracy,0.7002341920374707,0.5593042124766314,True,True
binary_classification,sequence,7,ema_HOPEFUL,accuracy,0.639344262295082,0.5763192600921457,True,True
binary_classification,sequence,7,ema_SLEEPING,accuracy,0.6510538641686182,0.5701748412433156,True,True
binary_classification,sequence,7,ema_SOCIAL,accuracy,0.6838407494145199,0.5681424561103512,True,True
binary_classification,sequence,7,ema_THINK,accuracy,0.7096018735362998,0.573894167311456,True,True
binary_classification,sequence,7,ema_DEPRESSED,accuracy,0.6932084309133489,0.5824134375972612,True,True
binary_classification,sequence,7,ema_HARM,accuracy,0.7962529274004684,0.581732778819119,True,True
binary_classification,sequence,7,ema_SEEING_THINGS,accuracy,0.8360655737704918,0.5690146649539713,True,True
binary_classification,sequence,7,ema_STRESSED,accuracy,0.7096018735362998,0.5757672264200677,True,True
binary_classification,sequence,7,ema_VOICES,accuracy,0.7564402810304449,0.5717133799171843,True,True
ordinal_regression,tabular,0,ema_CALM,mae,0.6105990783410138,1.1016511251415513,True,False
ordinal_regression,tabular,0,ema_HOPEFUL,mae,0.6336405529953917,1.1473225499801132,True,False
ordinal_regression,tabular,0,ema_SLEEPING,mae,0.6105990783410138,1.0696459432659275,True,False
ordinal_regression,tabular,0,ema_SOCIAL,mae,0.7119815668202765,1.058269968813062,True,False
ordinal_regression,tabular,0,ema_THINK,mae,0.5576036866359447,1.0703182833836549,True,False
ordinal_regression,tabular,0,ema_DEPRESSED,mae,0.6451612903225806,1.1601062974499057,True,False
ordinal_regression,tabular,0,ema_HARM,mae,0.3387096774193548,1.1870224830119134,True,False
ordinal_regression,tabular,0,ema_SEEING_THINGS,mae,0.3271889400921659,1.2572289402173913,True,False
ordinal_regression,tabular,0,ema_STRESSED,mae,0.6336405529953917,1.1053142281690724,True,False
ordinal_regression,tabular,0,ema_VOICES,mae,0.3778801843317972,1.250589133414269,True,False
ordinal_regression,tabular,1,ema_CALM,mae,0.5944700460829493,1.0515489120377364,True,False
ordinal_regression,tabular,1,ema_HOPEFUL,mae,0.684331797235023,1.1340401476498827,True,False
ordinal_regression,tabular,1,ema_SLEEPING,mae,0.5990783410138248,1.0876502905368475,True,False
ordinal_regression,tabular,1,ema_SOCIAL,mae,0.6981566820276498,1.0669192839753692,True,False
ordinal_regression,tabular,1,ema_THINK,mae,0.5898617511520737,1.0589697240044325,True,False
ordinal_regression,tabular,1,ema_DEPRESSED,mae,0.5391705069124424,1.1169723605199149,True,False
ordinal_regression,tabular,1,ema_HARM,mae,0.33640552995391704,1.2106284415243276,True,False
ordinal_regression,tabular,1,ema_SEEING_THINGS,mae,0.32027649769585254,1.223308484419035,True,False
ordinal_regression,tabular,1,ema_STRESSED,mae,0.6566820276497696,1.126997915787517,True,False
ordinal_regression,tabular,1,ema_VOICES,mae,0.37327188940092165,1.2113816602208178,True,False
ordinal_regression,tabular,7,ema_CALM,mae,0.6440281030444965,1.0793662867115432,True,False
ordinal_regression,tabular,7,ema_HOPEFUL,mae,0.6908665105386417,1.15666146248057,True,False
ordinal_regression,tabular,7,ema_SLEEPING,mae,0.5878220140515222,1.0862012781209662,True,False
ordinal_regression,tabular,7,ema_SOCIAL,mae,0.7400468384074942,1.0548588785675017,True,False
ordinal_regression,tabular,7,ema_THINK,mae,0.6416861826697893,1.0594394239657066,True,False
ordinal_regression,tabular,7,ema_DEPRESSED,mae,0.5761124121779859,1.1423091662635494,True,False
ordinal_regression,tabular,7,ema_HARM,mae,0.33489461358313816,1.1580474112812476,True,False
ordinal_regression,tabular,7,ema_SEEING_THINGS,mae,0.351288056206089,1.2367533074711756,True,False
ordinal_regression,tabular,7,ema_STRESSED,mae,0.6370023419203747,1.0870101148877278,True,False
ordinal_regression,tabular,7,ema_VOICES,mae,0.3629976580796253,1.2094479184486524,True,False
ordinal_regression,sequence,0,ema_CALM,mae,0.6497695852534562,1.1016511251415513,True,False
ordinal_regression,sequence,0,ema_HOPEFUL,mae,0.7073732718894009,1.1473225499801132,True,False
ordinal_regression,sequence,0,ema_SLEEPING,mae,0.6497695852534562,1.0696459432659275,True,False
ordinal_regression,sequence,0,ema_SOCIAL,mae,0.716589861751152,1.058269968813062,True,False
ordinal_regression,sequence,0,ema_THINK,mae,0.6036866359447005,1.0703182833836549,True,False
ordinal_regression,sequence,0,ema_DEPRESSED,mae,0.5944700460829493,1.1601062974499057,True,False
ordinal_regression,sequence,0,ema_HARM,mae,0.35944700460829493,1.1870224830119134,True,False
ordinal_regression,sequence,0,ema_SEEING_THINGS,mae,0.3387096774193548,1.2572289402173913,True,False
ordinal_regression,sequence,0,ema_STRESSED,mae,0.6036866359447005,1.1053142281690724,True,False
ordinal_regression,sequence,0,ema_VOICES,mae,0.391705069124424,1.250589133414269,True,False
ordinal_regression,sequence,1,ema_CALM,mae,0.6405529953917051,1.0515489120377364,True,False
ordinal_regression,sequence,1,ema_HOPEFUL,mae,0.7073732718894009,1.1340401476498827,True,False
ordinal_regression,sequence,1,ema_SLEEPING,mae,0.6405529953917051,1.0876502905368475,True,False
ordinal_regression,sequence,1,ema_SOCIAL,mae,0.7603686635944701,1.0669192839753692,True,False
ordinal_regression,sequence,1,ema_THINK,mae,0.631336405529954,1.0589697240044325,True,False
ordinal_regression,sequence,1,ema_DEPRESSED,mae,0.6221198156682027,1.1169723605199149,True,False
ordinal_regression,sequence,1,ema_HARM,mae,0.347926267281106,1.2106284415243276,True,False
ordinal_regression,sequence,1,ema_SEEING_THINGS,mae,0.32027649769585254,1.223308484419035,True,False
ordinal_regression,sequence,1,ema_STRESSED,mae,0.6359447004608295,1.126997915787517,True,False
ordinal_regression,sequence,1,ema_VOICES,mae,0.3870967741935484,1.2113816602208178,True,False
ordinal_regression,sequence,7,ema_CALM,mae,0.6627634660421545,1.0793662867115432,True,False
ordinal_regression,sequence,7,ema_HOPEFUL,mae,0.7681498829039812,1.15666146248057,True,False
ordinal_regression,sequence,7,ema_SLEEPING,mae,0.6440281030444965,1.0862012781209662,True,False
ordinal_regression,sequence,7,ema_SOCIAL,mae,0.7611241217798594,1.0548588785675017,True,False
ordinal_regression,sequence,7,ema_THINK,mae,0.6440281030444965,1.0594394239657066,True,False
ordinal_regression,sequence,7,ema_DEPRESSED,mae,0.5784543325526932,1.1423091662635494,True,False
ordinal_regression,sequence,7,ema_HARM,mae,0.3185011709601874,1.1580474112812476,True,False
ordinal_regression,sequence,7,ema_SEEING_THINGS,mae,0.297423887587822,1.2367533074711756,True,False
ordinal_regression,sequence,7,ema_STRESSED,mae,0.6370023419203747,1.0870101148877278,True,False
ordinal_regression,sequence,7,ema_VOICES,mae,0.3770491803278688,1.2094479184486524,True,False
